Product Name,Article Number,Part Number
conga-XAF/CSA-T A.3,041058-A.33,041058-A.33
conga-EAF/xxx B.3,20070-A00268-B.3,041071-B.30
conga-EAF/T56N B.3,20070-A00274-B.3,041071-B.31
conga-EAF/T40N B.3,041073-B.31,041073-B.31
conga-EAF/T44R B.3,20070-A00273-B.3,041075-B.31
conga-EAF/T40R B.3,20070-A00271-B.3,041076-B.31
conga-EAF/T40E B.3,20070-A00269-B.3,041077-B.31
conga-EAF/T16R B.3,20070-000010-B.3,041078-B.31
conga-TR3/RX-421BD B.0,20070-A01139-B.0,041300-B.01
conga-TR3/RX-418GD B.0,20070-A01140-B.0,041301-B.01
conga-TR3/i-RX416GD B.0,20070-000183-B.0,041310-B.01
conga-TR4/V1807B C.0,041600-C.01,041600-C.01
conga-TRX4/xxx C.0,041601-C.00,041601-C.00
conga-TR4/V1756B C.0,041601-C.01,041601-C.01
conga-TR4/V1605B C.0,041602-C.01,041602-C.01
conga-TR4/V1202B C.0,041603-C.01,041603-C.01
conga-TR4/i-V1404I C.0,041610-C.01,041610-C.01
conga-TR4/R1606G C.0,041620-C.01,041620-C.01
conga-TR4/R1505G C.0,041621-C.01,041621-C.01
conga-TR4/V1756B-PLX C.0,041690-C.01,041690-C.01
conga-TRX4/xxx C.0,041699-C.00,041699-C.00
conga-TCG/210HA-2GECC A.2,20070-A00643-A.2,042003-A.21
conga-TCG/420CA-4GECC A.2,20070-A01106-A.2,042004-A.21
conga-TCG/i-411GA-2GECC A.2,20070-A00653-A.2,042010-A.21
conga-TCG/i-209HA-2GECC A.2,20070-A00651-A.2,042011-A.21
conga-TCG/xxx B.0,20070-000328-B.0,042020-B.00
conga-TCG/222GC-4GECC B.0,20070-000196-B.0,042023-B.01
042051 conga-TCG/HSP-B X.0,20365-A00197-A.0,042051-X.01
conga-TCG/HSP-B X.0,042051-X.03,042051-X.03
042052 conga-TCG/HSP-T X.0,20365-A00206-A.0,042052-X.01
conga-TCG/HSP-T X.0,042052-X.03,042052-X.03
042053 conga-TCG/CSP-B X.0,20365-A00199-A.0,042053-X.01
conga-TCG/CSP-B X.0,042053-X.03,042053-X.03
042054 conga-TCG/CSP-T X.0,20365-A00208-A.0,042054-X.01
conga-TCG/CSP-T X.0,042054-X.03,042054-X.03
conga-TC97/xxx D.1,20070-A00981-D.1,045103-D.10
conga-TC97/i7-5650U D.1,20070-A00613-D.1,045103-D.11
conga-TC97/i5-5350U D.1,20070-A00611-D.1,045104-D.11
conga-TC97/i3-5010U D.1,20070-A00609-D.1,045105-D.11
conga-TC170/xxx C.1,20070-000025-C.1,045200-C.10
conga-TC170/i7-6600U C.1,20070-000375-C.1,045200-C.11
conga-TC170/i3-6100U C.1,20070-A01123-C.1,045202-C.11
conga-TC170/3955U C.1,20070-A01126-C.1,045203-C.11
conga-TC170/i7-6600U VGA C.1,20070-A01138-C.1,045208-C.11
045230 conga TC170/HSP-B X.0,20365-000036-X.0,045230-X.01
conga TC170/HSP-B X.0,045230-X.03,045230-X.03
045231 conga TC170/HSP-T X.0,20365-000037-X.0,045231-X.01
conga TC170/HSP-T X.0,045231-X.03,045231-X.03
045232 conga-TC170/CSP-B X.0,20365-000034-X.0,045232-X.01
conga-TC170/CSP-B X.0,045232-X.03,045232-X.03
045233 conga-TC170/CSP-T X.0,20365-000035-X.0,045233-X.01
conga-TC170/CSP-T X.0,045233-X.03,045233-X.03
conga-TC175/xxx C.1,045250-C.10,045250-C.10
conga-TC175/i7-7600U C.1,20070-000219-C.1,045250-C.11
conga-TC175/i5-7300U C.1,20070-000220-C.1,045251-C.11
conga-TC175/xxx C.1,20070-000390-C.1,045252-C.10
conga-TC175/i3-7100U C.1,20070-000221-C.1,045252-C.11
conga-TC175/3965U C.1,20070-000222-C.1,045253-C.11
conga-ELX/Deep Drawn HSP-B A.0,20365-000073-A.0,045458-A.02
conga-ELX/Deep Drawn HSP-B A.0,045458-A.03,045458-A.03
conga-TS170/i7-6820EQ B.0,20070-A01149-B.0,045900-B.01
conga-TS170/xxx B.0,20070-A01121-B.0,045901-B.00
conga-TS170/i7-6822EQ B.0,20070-A01150-B.0,045901-B.01
conga-TS170/i5-6440EQ B.0,20070-A01151-B.0,045902-B.01
conga-TS170/i5-6442EQ B.0,20070-A01152-B.0,045903-B.01
conga-TS170/i3-6100E B.0,20070-A01153-B.0,045904-B.01
conga-TS170/i3-6102E B.0,20070-A01154-B.0,045905-B.01
conga-TS170/E3-1505MV5 B.0,20070-A01155-B.0,045906-B.01
conga-TS170/E3-1505LV5 B.0,20070-A01156-B.0,045907-B.01
conga-TS170/i3-6100E ECC B.0,20070-000072-B.0,045908-B.01
conga-TS170/G3900E B.0,20070-000077-B.0,045910-B.01
conga-TS170/G3902E B.0,20070-000079-B.0,045911-B.01
conga-TS175/i7-7820EQ B.0,20070-000228-B.0,045950-B.01
conga-TS175/i5-7440EQ B.0,20070-000229-B.0,045951-B.01
conga-TS175/i5-7442EQ B.0,20070-000230-B.0,045952-B.01
conga-TS175/i3-7102E B.0,20070-000232-B.0,045954-B.01
conga-TS175/E3-1505MV6 B.0,045955-B.01,045955-B.01
conga-TS175/E3-1505LV6 B.0,20070-000234-B.0,045956-B.01
conga-BM57/xxx B.2,20070-A00143-B.2,046001-B.20
conga-BM57/i5-520M B.2,20070-A00144-B.2,046001-B.21
conga-BS67/i7-2655LE A.2,20070-A00197-A.2,046151-A.21
conga-BS67/807UE A.2,20070-A00192-A.2,046156-A.21
conga-TS67/i7-2610UE A.0,20070-A00676-A.0,046402-A.01
conga-TS67/HSP-HP-B,20365-A00258-A.0,046450-A.00
conga-TS77/i7-3612QE A.0,20070-A00706-A.0,046501-A.01
conga-TS77/i7-3555LE A.0,20070-A00704-A.0,046502-A.01
conga-TS77/i7-3517UE A.0,20070-A00702-A.0,046503-A.01
conga-TS77/i5-3610ME A.0,20070-A00698-A.0,046504-A.01
conga-TS77/i3-3120ME A.0,20070-A00691-A.0,046507-A01
conga-TS77/1047UE BRC A.0,20070-A00684-A.0,046510-A.00
conga-TS77/1047UE A.0,20070-A00682-A.0,046510-A.01
conga-BS77/i7-3612QE A.2,20070-A00209-A.2,046601-A.21
conga-BS77/i7-3555LE A.2,20070-A00208-A.2,046602-A.21
conga-BS77/i7-3517UE A.2,20070-A00207-A.2,046603-A.21
conga-BS77/i3-3217UE A.2,20070-A00205-A.2,046605-A.21
conga-BS77/i7-3615QE A.2,20070-A00210-A.2,046606-A.21
conga-BS77/i3-3120ME A.2,20070-A00204-A.2,046607-A.21
conga-BS77/1047UE A.2,20070-A00202-A.2,046608-A.21
conga-BS77/927UE A.2,20070-A00203-A.2,046609-A.21
conga-BS77/1020E A.2,20070-A00201-A.2,046610-A.21
conga-TS87/i7-4700EQ B.1,20070-A00718-B.1,046804-B.11
conga-TS87/i5-4400E B.1,20070-A00715-B.1,046806-B.11
conga-TS87/i3-4100E B.1,20070-A00713-B.1,046808-B.11
conga-TS97/i7-5850EQ B.1,20070-A01013-B.1,046830-B.11
conga-TS97/E3-1278LV4 B.1,20070-A01015-B.1,046832-B.11
conga-TC87/xxx C.1,20070-A00582-C.1,046901-C.10
conga-TC87/xxx D.1,20070-000103-D.1,046901-D.10
conga-TC87/i7-4650U D.1,20070-A00602-D.1,046901-D.11
conga-TC87/i5-4300U D.1,20070-000105-D.1,046902-D.11
conga-TC87/i5-4300U VGA D.1,20070-A00598-D.1,046906-D.11
conga-TC87/CSP-B X.0,20365-A00177-A.0,046951-X.01
conga-TC87/CSP-B X.0,046951-X.03,046951-X.03
046952 conga-TC87/CSP-T X.0,20365-A00144-A.0,046952-X.01
conga-TC87/CSP-T X.0,046952-X.03,046952-X.03
046953 conga-TC87/HSP-B X.0,20365-A00179-A.0,046953-X.01
conga-TC87/HSP-B X.0,046953-X.03,046953-X.03
046954 conga-TC87/HSP-T X.0,20365-A00146-A.0,046954-X.01
conga-TC87/HSP-T X.0,046954-X.03,046954-X.03
conga-TCA/N2800 A.3,20070-A00640-A.3,047002-A.31
conga-TCA/HSP-T Rev. X.2,20365-A00154-A.0,047032-X.21
conga-TCA/HSP-T Rev. X.2,047032-X.23,047032-X.23
conga-TCA/HSP-T X.3,047032-X.33,047032-X.33
047034 conga-TCA/CSP-T-HF Rev. X.2,20365-A00172-X.2,047034-X.21
conga-TCA/CSP-T-HF X.2,047034-X.23,047034-X.23
conga-CCA/xxx A.2,20070-A00217-A.2,047101-A.20
conga-CCA/N2600 A.2,20070-A00220-A.2,047101-A.21
conga-CCA/N2800 A.2,20070-A00221-A.2,047102-A.21
conga-CCA/D2550 A.2,20070-A00218-A.2,047103-A.21
conga-TCA3/E3845 A.4,20070-A00966-A.4,047300-A.41
conga-TCA3/xxx A.5 *commercial*,047300-A.50,047300-A.50
conga-TCA3/E3845 A.5,20070-A00966-A.5,047300-A.51
conga-TCA3/E3827 A.4,20070-A00968-A.4,047301-A.41
conga-TCA3/E3827 A.5,20070-A00968-A.5,047301-A.51
conga-TCA3/E3826 A.5,20070-A00618-A.5,047302-A.51
conga-TCA3/E3825 A.5,20070-A00614-A.5,047303-A.51
conga-TCA3/E3815 A.4,20070-A00969-A.4,047304-A.41
conga-TCA3/E3815 A.5,20070-A00969-A.5,047304-A.51
conga-TCA3/J1900 A.4,20070-A00971-A.4,047305-A.41
conga-TCA3/J1900 A.5,20070-A00971-A.5,047305-A.51
conga-TCA3/N2930 A.4,20070-A00983-A.4,047307-A.41
conga-TCA3/N2930 A.5,20070-A00983-A.5,047307-A.51
conga-TCA3/N2807 A.5,20070-A00633-A.5,047308-A.51
conga-TCA3/i-E3845 A.4,20070-A00972-A.4,047310-A.41
conga-TCA3/xxx A.5 *industrial*,047310-A.50,047310-A.50
conga-TCA3/i-E3845 A.5,20070-A00972-A.5,047310-A.51
conga-TCA3/i-E3827 A.4,20070-A00973-A.4,047311-A.41
conga-TCA3/i-E3827 A.5,20070-A00973-A.5,047311-A.51
conga-TCA3/i-E3826 A.4,20070-A00975-A.4,047312-A.41
conga-TCA3/i-E3826 A.5,20070-A00975-A.5,047312-A.51
conga-TCA3/i-E3815 A.5,20070-A01105-A.5,047314-A.51
047350 conga-TCA3/HSP-T X.0,20365-A00226-A.0,047350-X.01
conga-TCA3/HSP-T X.0,047350-X.03,047350-X.03
047351 conga-TCA3/HSP-B Rev. X.0,20365-A00225-A.0,047351-X.01
